Tag Counts:
Tag,Count
sv_p4,7886
sv_p1,7798
email,8047
sv_p5,8418
sv_p2,8675
sv_p3,8572
Untagged,0

Port/Protocol Combination Counts:
Port,Protocol,Count
60174,udp,8
49974,udp,8
63054,udp,13
37210,udp,12
18056,tcp,13
32535,icmp,7
425,udp,10
26499,tcp,7
49311,tcp,8
51422,tcp,10
30354,tcp,14
9371,tcp,11
20303,udp,8
24166,tcp,11
21643,tcp,9
35687,udp,8
13048,tcp,5
54444,tcp,10
58848,icmp,10
40328,udp,11
15529,icmp,11
39685,udp,13
10377,tcp,12
56105,tcp,14
22712,udp,11
51730,icmp,10
997,icmp,9
55134,tcp,6
45566,icmp,9
60386,tcp,7
14781,tcp,8
23453,icmp,16
5598,tcp,9
48159,udp,14
39933,icmp,12
15590,icmp,14
62998,udp,12
18266,tcp,8
5657,udp,17
17111,udp,11
39972,tcp,13
45726,icmp,14
56665,udp,14
9334,udp,6
11955,udp,13
61209,tcp,11
8168,tcp,10
44580,icmp,11
43419,tcp,8
20852,icmp,12
27311,icmp,9
18743,udp,8
24505,tcp,11
417,icmp,9
13029,icmp,13
62893,icmp,9
3038,icmp,8
15563,udp,12
53489,tcp,15
57512,tcp,13
59742,udp,15
22033,icmp,7
41615,tcp,9
31988,udp,11
8538,tcp,10
65280,tcp,16
12204,tcp,12
36720,udp,10
22955,tcp,13
44374,icmp,13
50659,udp,14
26282,udp,10
8863,udp,12
46305,icmp,10
23922,icmp,14
23792,udp,10
64422,icmp,7
50560,tcp,13
35512,udp,17
30451,icmp,13
26911,udp,7
18625,udp,13
36476,tcp,21
50759,tcp,12
17104,icmp,9
1913,udp,12
16318,udp,9
38335,udp,7
40544,tcp,11
9598,icmp,9
17327,tcp,14
9787,icmp,7
49234,icmp,12
42058,tcp,14
33125,udp,12
21275,tcp,10
49008,udp,10
55962,tcp,10
61740,tcp,8
50576,icmp,12
27,udp,9
28956,icmp,10
24088,tcp,8
9429,udp,12
52842,tcp,8
27415,tcp,10
57420,tcp,11
20441,tcp,5
11442,udp,11
17192,tcp,6
19843,tcp,9
22764,tcp,12
1402,icmp,1
34877,udp,12
56384,udp,13
39568,tcp,16
34610,tcp,4
1052,tcp,12
13511,udp,7
25113,icmp,10
58864,udp,12
35390,udp,15
41458,udp,12
58811,udp,13
19307,udp,8
51374,tcp,15
31054,udp,12
28156,icmp,14
63514,icmp,8
44842,icmp,7
33452,tcp,7
26509,icmp,12
7006,icmp,15
11121,icmp,9
24750,icmp,15
11588,udp,12
17787,icmp,11
37100,udp,13
64811,tcp,14
8979,icmp,13
42906,udp,17
57473,udp,15
16616,icmp,9
44303,icmp,7
9324,udp,14
14398,udp,14
19374,icmp,12
1138,icmp,8
58924,udp,14
12431,tcp,10
57989,icmp,15
24825,tcp,20
65057,icmp,12
40895,tcp,13
18499,tcp,12
56538,udp,12
8242,icmp,14
37892,udp,14
3150,udp,8
59289,udp,7
1368,icmp,9
29676,udp,6
64348,icmp,13
52126,udp,15
29279,tcp,13
19916,tcp,9
65078,udp,11
51195,tcp,7
16907,tcp,5
4847,tcp,11
59096,tcp,8
46167,udp,16
40577,udp,10
7850,icmp,15
46644,icmp,7
25779,tcp,13
59981,tcp,11
26434,icmp,9
18422,tcp,19
12102,udp,20
3990,udp,17
54982,icmp,14
41522,icmp,14
65128,udp,14
5788,udp,11
55566,icmp,12
60315,tcp,13
41825,tcp,12
36112,icmp,8
3718,icmp,14
16797,icmp,16
47859,icmp,12
58137,icmp,12
18758,icmp,15
19604,icmp,7
61824,tcp,15
48203,tcp,12
14528,udp,13
14437,icmp,11
18325,udp,12
51102,udp,7
31517,udp,8
31877,udp,12
52841,tcp,11
43614,tcp,7
38144,udp,13
57897,icmp,9
33619,tcp,11
61648,icmp,12
25875,udp,11
44153,icmp,11
61361,icmp,6
18272,udp,9
21829,icmp,12
21877,icmp,14
24616,icmp,14
3,tcp,13
39469,udp,5
33059,icmp,7
43342,udp,12
31093,icmp,10
22149,tcp,7
4718,tcp,8
157,udp,15
45901,tcp,11
28963,icmp,10
518,icmp,15
14612,tcp,11
9938,icmp,16
46246,icmp,8
2936,icmp,12
64542,icmp,14
50448,icmp,10
10641,udp,8
53001,udp,11
45132,icmp,10
11060,tcp,9
3074,udp,9
37206,tcp,8
62952,tcp,11
15652,udp,10
43364,tcp,17
53388,icmp,10
7046,tcp,8
61789,tcp,11
13479,tcp,17
10234,tcp,16
64929,udp,12
1144,icmp,16
55102,udp,14
46137,udp,11
23586,icmp,9
5664,udp,18
43505,udp,15
13105,udp,11
19902,tcp,9
13385,icmp,10
48691,tcp,9
61026,icmp,14
36424,udp,15
42537,icmp,12
1750,tcp,8
14702,icmp,9
23353,icmp,8
15816,udp,14
25909,tcp,9
22389,udp,7
17383,udp,11
39740,tcp,14
20058,icmp,8
44,udp,7
48382,udp,7
36414,tcp,13
3472,udp,11
62270,icmp,8
23622,icmp,15
53591,udp,13
31767,tcp,6
30709,tcp,13
17979,icmp,11
43268,udp,8
37140,tcp,16
46254,udp,14
64825,icmp,11
62024,tcp,8
45610,tcp,17
54040,udp,11
25436,tcp,11
50399,icmp,8
48561,udp,12
15865,udp,14
62577,tcp,13
65060,udp,10
14901,icmp,14
16513,icmp,14
54471,tcp,7
62818,udp,11
39050,icmp,10
45790,icmp,10
58473,tcp,7
41262,icmp,7
22367,tcp,4
41375,udp,8
42201,udp,12
23221,udp,12
50789,icmp,11
14536,tcp,3
52646,tcp,8
7100,udp,5
6106,tcp,13
20501,udp,9
42847,udp,10
28312,tcp,11
19566,udp,7
49968,tcp,11
53796,tcp,11
8784,tcp,12
19665,icmp,9
25983,udp,12
36781,icmp,8
10095,tcp,8
64497,tcp,15
36368,icmp,8
29425,tcp,7
60882,udp,14
26011,tcp,10
41490,tcp,8
56878,tcp,7
58786,icmp,12
12313,udp,11
21358,tcp,11
58266,tcp,6
6524,icmp,12
44053,tcp,13
11841,udp,11
8553,icmp,8
55222,icmp,7
19786,udp,11
57204,tcp,13
59702,tcp,7
22701,icmp,10
28068,tcp,9
59444,icmp,11
16541,tcp,10
49753,udp,8
19823,icmp,15
15290,udp,10
65318,tcp,14
54580,tcp,13
23969,udp,14
31786,udp,10
56783,icmp,12
47348,udp,13
21853,tcp,5
45285,udp,11
18072,udp,13
9092,tcp,5
2834,udp,16
43473,icmp,6
8796,tcp,9
21596,udp,7
55895,icmp,9
39896,icmp,7
60603,tcp,7
19494,icmp,9
14777,tcp,7
54523,udp,20
36296,tcp,16
64255,icmp,13
49915,icmp,5
53213,udp,10
13768,icmp,10
15736,tcp,10
35178,icmp,14
54170,udp,9
39228,udp,14
26814,udp,7
36126,icmp,13
23648,udp,8
63105,tcp,8
11409,icmp,12
1588,udp,8
35830,tcp,15
21246,udp,6
14571,udp,8
285,tcp,12
6456,icmp,7
22734,icmp,5
51391,tcp,11
35113,tcp,13
6634,tcp,8
29369,udp,11
21657,udp,7
8273,icmp,7
10456,udp,6
22314,tcp,6
34345,icmp,20
47823,tcp,17
22671,tcp,9
58354,tcp,11
5257,tcp,6
18831,icmp,11
12408,udp,8
18506,icmp,11
9089,udp,15
15733,icmp,10
12562,icmp,14
53587,udp,15
15624,udp,10
55889,icmp,21
10757,icmp,6
51183,icmp,10
44239,icmp,9
42084,tcp,14
52097,tcp,6
52749,icmp,9
19762,udp,13
32756,tcp,8
53870,icmp,5
33111,tcp,10
47697,icmp,11
44731,icmp,11
17562,tcp,8
47969,udp,12
24910,icmp,11
56820,tcp,12
24495,udp,10
5037,icmp,6
11377,tcp,12
57894,tcp,17
7209,udp,9
51023,udp,9
39889,icmp,10
5663,icmp,12
14404,tcp,14
64800,icmp,13
19296,tcp,14
3178,tcp,14
13084,icmp,11
13510,udp,10
38634,udp,8
22089,icmp,13
21063,udp,8
33282,tcp,15
53128,tcp,14
63327,icmp,7
58533,icmp,22
27350,udp,13
3768,udp,10
27910,tcp,11
13961,udp,9
3413,icmp,9
61314,icmp,10
14823,tcp,8
11567,tcp,5
10583,tcp,10
34433,icmp,5
22553,tcp,10
27974,icmp,12
10975,udp,14
18491,icmp,14
25632,icmp,13
50618,icmp,12
6186,udp,13
65358,icmp,13
31154,icmp,7
14611,icmp,7
47389,tcp,7
3738,udp,14
56451,tcp,5
16847,icmp,12
8144,tcp,5
64531,tcp,11
27755,udp,9
44268,icmp,12
32001,icmp,17
7702,icmp,7
24079,icmp,5
47388,udp,8
10786,icmp,7
57718,udp,8
65221,icmp,8
17694,udp,8
833,tcp,10
26712,tcp,12
14947,tcp,14
18312,icmp,12
18455,icmp,7
62738,tcp,12
6009,icmp,9
43900,icmp,10
36015,tcp,11
53343,tcp,7
8801,icmp,7
14503,icmp,16
37071,tcp,6
34400,udp,15
33508,udp,20
22171,icmp,11
55920,icmp,21
30237,tcp,11
9660,udp,20
15845,icmp,9
64424,icmp,7
58190,udp,13
39264,icmp,18
15356,udp,11
9672,icmp,9
31552,tcp,13
57614,tcp,13
55651,icmp,10
30614,tcp,13
19617,tcp,13
26532,tcp,11
64982,udp,12
27757,udp,7
34467,icmp,9
59086,udp,10
51498,tcp,9
15871,udp,19
33541,tcp,8
37986,tcp,7
30587,icmp,10
14886,udp,17
2993,tcp,9
45531,udp,12
7023,tcp,6
64256,icmp,10
41349,icmp,5
48876,tcp,21
55083,tcp,7
47862,udp,9
42571,icmp,14
27042,tcp,11
15449,icmp,19
48719,udp,11
27733,tcp,12
18720,tcp,8
47265,udp,12
12107,icmp,10
53293,icmp,8
62417,icmp,15
10885,tcp,8
16696,tcp,14
30586,udp,7
12527,icmp,12
37116,tcp,12
12143,icmp,16
15203,udp,6
20143,tcp,10
20565,tcp,13
15699,icmp,10
3252,udp,6
6313,tcp,13
26504,udp,10
53499,udp,15
17429,tcp,10
3608,icmp,10
23507,tcp,10
52946,icmp,7
61271,udp,9
26220,icmp,10
27229,udp,11
38006,icmp,13
12809,tcp,13
28546,tcp,7
56498,udp,10
31090,udp,10
59819,udp,10
45471,icmp,11
16358,udp,10
3333,udp,8
32694,udp,10
26070,udp,14
47465,icmp,9
18497,tcp,14
54784,icmp,11
40135,tcp,15
18134,tcp,8
64335,tcp,12
9412,udp,14
25955,tcp,18
43027,tcp,8
60930,icmp,14
12318,udp,9
46429,udp,13
59684,tcp,14
13729,icmp,10
61961,tcp,7
10240,icmp,5
31259,tcp,11
59810,tcp,5
8647,tcp,7
17054,udp,11
39085,udp,16
47119,icmp,11
59816,icmp,11
31394,udp,12
56598,udp,6
64453,icmp,9
51037,udp,13
62861,udp,7
26364,udp,9
40163,tcp,9
50413,tcp,6
444,udp,10
10561,tcp,13
60137,udp,13
1928,udp,13
2524,icmp,11
22453,udp,13
6428,udp,14
40780,tcp,9
60138,udp,15
35481,icmp,13
59671,tcp,9
33653,icmp,17
12292,udp,13
9035,icmp,16
30793,tcp,12
2640,icmp,14
53914,icmp,12
61046,icmp,15
48979,icmp,10
61476,icmp,7
56165,udp,12
62038,tcp,9
51439,udp,12
37845,icmp,10
18100,tcp,17
16835,tcp,11
15350,udp,14
3562,tcp,14
33937,icmp,8
10550,tcp,5
42423,tcp,10
35898,udp,7
11831,icmp,9
54731,icmp,11
4368,udp,8
9226,udp,12
40477,udp,11
3905,icmp,15
1998,tcp,8
4984,icmp,10
8561,tcp,10
13017,udp,12
27107,udp,11
59564,icmp,12
18258,tcp,10
59648,udp,12
19620,udp,5
18561,tcp,15
39979,udp,9
41317,udp,7
54099,tcp,12
11906,icmp,10
23385,tcp,15
13273,udp,11
8397,udp,14
4057,udp,10
2328,tcp,11
65261,udp,10
51605,icmp,10
24373,udp,9
15978,tcp,15
41711,udp,12
10793,tcp,11
18508,icmp,12
5005,icmp,15
17422,tcp,12
276,udp,13
63555,udp,8
22718,tcp,5
20643,tcp,8
48787,icmp,8
59294,icmp,5
32442,icmp,7
44871,udp,5
52483,tcp,8
26223,udp,9
23982,tcp,9
7331,tcp,22
14808,icmp,13
3894,tcp,14
30223,udp,11
61896,udp,11
49786,icmp,12
39977,udp,10
13701,tcp,12
62581,icmp,7
263,tcp,11
45961,udp,9
31993,tcp,9
50906,tcp,11
11815,icmp,13
35297,udp,9
55510,udp,6
1256,icmp,9
5208,tcp,9
12031,udp,11
47413,icmp,11
30075,udp,13
50763,icmp,12
56150,udp,11
16312,tcp,8
42631,udp,9
8562,tcp,8
26168,icmp,15
21748,tcp,6
30308,icmp,8
5610,icmp,20
52095,icmp,12
46572,tcp,14
29168,icmp,7
22856,udp,15
14356,icmp,4
62317,udp,11
57407,udp,7
61128,tcp,16
24785,tcp,8
45993,udp,9
64719,icmp,20
64074,udp,8
49076,udp,13
20137,udp,12
45327,icmp,6
60477,tcp,10
54607,udp,6
43856,icmp,13
8509,udp,7
17415,icmp,7
18835,udp,9
15947,udp,9
21193,tcp,12
20805,tcp,11
8150,udp,7
37944,udp,16
11858,tcp,11
63204,udp,10
42415,udp,9
51282,icmp,9
40161,icmp,10
17659,udp,9
51926,icmp,14
25937,tcp,8
38715,tcp,14
62792,icmp,9
61408,icmp,10
46806,tcp,7
48696,tcp,6
521,udp,10
51103,icmp,13
12792,tcp,15
18973,udp,13
43998,udp,8
33176,icmp,10
8508,icmp,10
2181,tcp,13
47060,tcp,12
48962,icmp,12
1544,tcp,20
63177,icmp,8
34646,icmp,9
54600,icmp,10
4305,udp,8
65211,tcp,14
62613,icmp,10
45003,tcp,12
13724,icmp,14
11004,udp,14
325,udp,10
30608,udp,8
57591,icmp,6
17931,udp,9
65111,udp,12
46998,udp,10
22806,icmp,14
58702,udp,6
14754,udp,7
64900,icmp,10
31465,icmp,10
4559,icmp,8
10738,icmp,8
37143,udp,13
5448,icmp,8
38438,tcp,10
44538,tcp,10
52864,icmp,10
64846,udp,13
53563,icmp,16
24903,icmp,7
1021,icmp,11
39254,tcp,7
49256,udp,12
31538,tcp,11
46595,tcp,5
28449,tcp,9
8436,icmp,8
28900,tcp,18
24524,tcp,8
24486,udp,14
20962,tcp,9
27824,tcp,6
48400,tcp,10
21028,tcp,14
5249,icmp,13
27143,icmp,14
13435,tcp,8
13881,icmp,12
12294,icmp,14
54470,icmp,11
2162,udp,12
8306,udp,10
3435,icmp,9
43364,icmp,5
45287,udp,15
21266,icmp,10
13733,icmp,12
49030,tcp,8
21668,icmp,11
48147,icmp,15
51918,udp,9
60000,tcp,12
30577,tcp,8
41100,udp,11
33562,tcp,9
24152,icmp,19
4431,udp,6
42431,icmp,7
49004,udp,10
12977,icmp,10
57156,icmp,12
3910,udp,10
29900,udp,11
19527,udp,11
8501,tcp,8
48336,tcp,10
21894,tcp,16
64152,icmp,12
34178,udp,13
64955,tcp,7
61725,icmp,8
40454,icmp,10
52353,tcp,7
28381,icmp,9
43475,icmp,5
2558,tcp,9
37205,icmp,13
11849,udp,10
46762,tcp,17
6643,icmp,10
9529,udp,11
15350,icmp,8
45300,icmp,13
24246,udp,12
57082,icmp,9
10951,tcp,10
45348,udp,9
11446,icmp,16
6125,icmp,20
21547,tcp,8
58555,tcp,8
51999,udp,10
13681,tcp,10
55855,icmp,8
54995,udp,9
59671,udp,9
18750,tcp,8
40533,tcp,10
9121,udp,11
59956,tcp,11
37074,icmp,6
62430,icmp,11
36556,tcp,13
59587,icmp,10
62182,icmp,13
48187,tcp,14
46986,icmp,12
15175,icmp,13
34753,udp,7
49317,tcp,22
60561,icmp,14
40075,tcp,10
48968,icmp,10
19413,icmp,12
55441,tcp,5
57791,udp,12
59571,tcp,14
2197,tcp,10
14034,icmp,8
31171,icmp,12
20145,icmp,9
7652,udp,12
9811,icmp,13
6234,tcp,9
41984,udp,9
55232,icmp,16
8917,udp,13
21851,udp,8
24278,tcp,7
44199,udp,9
64744,tcp,6
4213,icmp,9
8556,tcp,9
56319,tcp,8
34567,tcp,6
44935,udp,11
11503,tcp,3
56067,udp,11
22273,tcp,12
17001,icmp,10
57953,udp,11
35881,tcp,9
17484,icmp,8
9558,tcp,18
19141,udp,12
36099,udp,9
50885,udp,12
4961,tcp,12
40912,icmp,9
37089,udp,10
21397,tcp,10
48958,udp,13
61912,icmp,10
4815,udp,14
3736,tcp,14
41326,udp,14
8233,udp,10
57666,udp,7
35054,tcp,6
37134,udp,11
36197,tcp,16
27710,udp,12
22057,tcp,14
64093,tcp,9
48431,udp,6
1523,tcp,10
12288,udp,14
20864,icmp,8
25154,udp,15
10372,tcp,10
26250,tcp,7
53544,icmp,4
56459,icmp,8
24135,icmp,9
46813,icmp,15
692,tcp,7
40108,udp,13
59347,udp,3
60494,udp,10
35563,udp,7
13661,udp,11
64620,tcp,10
48249,udp,13
25537,tcp,18
60777,udp,6
40493,tcp,13
16466,udp,13
39911,udp,12
41174,icmp,16
38845,tcp,10
34594,udp,16
881,icmp,9
5101,tcp,9
59993,icmp,11
48914,icmp,7
16909,udp,7
61371,tcp,12
27169,tcp,10
25608,udp,13
29247,tcp,10
55145,tcp,11
48070,udp,10
55201,udp,10
63195,icmp,11
65114,tcp,14
5011,icmp,11
7656,udp,10
17202,tcp,15
60365,udp,11
61173,icmp,8
10027,udp,13
4544,tcp,15
3757,icmp,10
54187,udp,12
8418,tcp,9
1713,icmp,15
19546,icmp,12
57815,tcp,13
55337,tcp,8
57310,tcp,15
23430,udp,13
50014,tcp,11
38122,tcp,11
38813,udp,13
43141,tcp,9
28263,udp,18
11726,tcp,8
53625,tcp,13
60351,icmp,8
5625,icmp,8
27504,icmp,10
47891,icmp,6
45238,icmp,15
28127,tcp,8
1709,tcp,10
41627,udp,12
43767,udp,16
17561,udp,15
24795,tcp,10
6342,udp,9
4240,udp,10
35267,udp,10
8995,icmp,11
21882,udp,13
1869,tcp,10
13308,udp,13
34180,tcp,10
32255,tcp,11
32078,udp,10
31272,icmp,8
35862,tcp,12
35889,icmp,11
48268,udp,18
41058,udp,10
29575,tcp,16
56882,udp,11
28128,udp,13
57895,icmp,16
65504,icmp,10
2206,icmp,9
25834,tcp,16
8430,tcp,7
15804,udp,9
2375,icmp,13
51278,tcp,6
46277,tcp,12
58157,udp,9
51022,tcp,12
34021,icmp,9
51189,tcp,9
1529,icmp,9
19214,udp,3
45269,udp,8
35707,tcp,11
34476,tcp,8
42723,udp,13
38284,udp,13
18809,udp,8
34208,icmp,5
9282,icmp,10
18637,udp,11
32763,udp,11
7438,icmp,9
8024,tcp,14
2740,icmp,14
61963,tcp,16
6345,udp,14
45143,tcp,12
5068,udp,11
54009,tcp,15
50057,icmp,15
5216,tcp,14
60521,tcp,10
61794,tcp,12
51913,udp,10
50434,icmp,7
39526,tcp,11
3042,tcp,11
60380,udp,15
11633,udp,14
25856,tcp,10
36728,udp,10
49038,udp,13
65047,udp,12
42925,udp,11
34387,icmp,15
38065,icmp,8
40419,tcp,12
12289,tcp,12
60011,tcp,13
44942,udp,12
57948,icmp,6
275,udp,12
29641,tcp,9
24730,udp,10
18344,tcp,11
48648,udp,11
7866,tcp,6
65098,udp,12
56191,tcp,8
13506,tcp,18
28895,udp,10
9628,udp,9
47135,tcp,14
10120,tcp,13
58209,icmp,17
6011,udp,9
23063,tcp,9
41894,udp,7
61178,tcp,10
55024,tcp,12
30850,tcp,10
62902,tcp,11
37370,tcp,11
14605,icmp,10
41018,udp,17
59799,udp,9
19096,icmp,7
29595,icmp,13
38156,tcp,13
29724,tcp,13
50151,udp,10
6341,tcp,14
46715,icmp,13
55078,udp,11
34513,tcp,16
1312,udp,11
49938,icmp,13
48757,udp,5
48747,icmp,9
63178,tcp,13
21914,icmp,11
24496,icmp,11
30669,tcp,9
30229,icmp,11
3314,tcp,9
43962,tcp,6
3818,tcp,11
41427,tcp,13
41656,icmp,13
18721,icmp,14
41651,icmp,8
8978,icmp,10
15507,icmp,6
18083,icmp,12
46643,udp,12
60716,udp,18
42671,icmp,10
18661,icmp,12
21558,tcp,11
54417,udp,7
50124,udp,9
14315,icmp,3
1152,tcp,10
45498,tcp,8
43504,icmp,5
41528,udp,10
50213,udp,11
45542,tcp,15
6593,tcp,7
11774,icmp,10
45135,udp,11
7827,udp,11
58898,tcp,10
11390,udp,11
7990,udp,6
20255,udp,7
40356,tcp,13
7058,icmp,12
49439,udp,9
40594,icmp,9
24155,udp,12
59191,icmp,7
64372,tcp,10
31490,icmp,12
846,icmp,10
55881,udp,8
25938,tcp,7
56213,udp,7
238,tcp,8
57991,icmp,16
19910,icmp,7
40066,icmp,10
3248,udp,10
2397,udp,15
2481,udp,12
4851,icmp,10
33232,icmp,11
7832,tcp,14
36576,tcp,10
13651,udp,13
54300,tcp,7
60413,icmp,11
61896,icmp,8
39892,tcp,9
956,tcp,14
62059,tcp,15
8946,icmp,9
32845,udp,12
35625,icmp,14
3019,udp,15
19053,tcp,10
24123,tcp,11
24586,icmp,8
9126,tcp,11
30402,udp,12
46692,icmp,7
25520,udp,9
48065,icmp,12
27514,tcp,11
29791,udp,13
18525,udp,10
49465,icmp,8
63632,udp,15
29667,udp,10
49489,icmp,18
27425,tcp,18
50260,tcp,11
46559,tcp,16
20530,icmp,14
56065,udp,12
6097,udp,7
24390,icmp,13
7147,udp,9
64043,tcp,16
8359,tcp,8
26042,tcp,11
26791,icmp,10
1902,udp,13
25440,icmp,12
3803,tcp,10
27713,icmp,14
19523,udp,9
17585,icmp,6
4386,tcp,7
47410,icmp,9
17164,icmp,8
5705,icmp,10
17125,tcp,9
8341,tcp,14
21363,tcp,4
31575,udp,13
58609,tcp,14
13132,tcp,12
10986,icmp,14
41126,tcp,11
32005,icmp,7
1572,tcp,11
19643,tcp,15
47289,udp,13
38483,tcp,10
21071,udp,14
6498,icmp,8
52287,icmp,12
32279,udp,8
61855,icmp,9
49336,tcp,12
7218,icmp,14
20893,udp,17
6663,icmp,13
11490,udp,6
1807,tcp,10
52674,tcp,10
24687,icmp,18
17080,udp,10
5803,icmp,8
44872,icmp,9
41210,icmp,7
60872,icmp,15
2587,tcp,10
31098,udp,10
16021,udp,10
24234,udp,13
30030,icmp,6
4141,tcp,13
61288,tcp,7
32027,tcp,8
21227,udp,11
55428,icmp,7
14282,udp,6
60446,icmp,10
1541,icmp,5
42798,tcp,12
53829,icmp,9
36293,tcp,6
49703,udp,9
1376,tcp,11
56467,udp,14
115,tcp,12
33731,tcp,9
7966,icmp,11
47301,udp,8
51244,icmp,11
30929,udp,14
43812,udp,10
1298,tcp,3
42013,udp,13
52336,icmp,12
65107,icmp,9
3939,icmp,11
15646,udp,7
7025,udp,9
58454,udp,13
8506,tcp,4
43519,tcp,10
64147,tcp,12
64104,udp,13
59956,icmp,12
4603,icmp,10
57416,tcp,9
4940,icmp,10
60375,udp,11
60472,udp,15
2926,tcp,11
632,icmp,12
44083,tcp,5
31169,icmp,14
4800,udp,7
42695,tcp,12
52551,icmp,11
4192,tcp,9
59652,udp,9
27914,icmp,15
59690,udp,11
5652,icmp,9
44370,udp,8
56048,udp,12
30383,icmp,18
19520,tcp,15
35589,icmp,12
49589,udp,17
12691,tcp,11
8236,tcp,6
9596,icmp,9
6334,udp,11
41790,icmp,17
57064,udp,9
2181,icmp,15
32385,tcp,11
50534,udp,6
60816,tcp,10
42009,udp,10
10115,icmp,13
24092,tcp,10
22109,icmp,11
25602,tcp,13
48534,tcp,11
3193,udp,12
47842,tcp,8
56248,tcp,6
40870,tcp,12
55803,icmp,8
9614,udp,14
25782,tcp,11
57083,tcp,12
38466,udp,3
63415,udp,13
49224,udp,10
10966,udp,13
3069,tcp,13
1942,tcp,10
55607,tcp,7
58529,icmp,8
54168,icmp,19
1880,icmp,4
8365,udp,7
42670,icmp,11
3717,icmp,13
1389,tcp,11
10199,udp,11
45320,udp,12
27093,tcp,10
46710,udp,7
11734,tcp,9
60797,icmp,8
18174,udp,13
5157,icmp,5
3455,udp,9
21197,icmp,9
25513,icmp,14
52645,icmp,12
41233,tcp,13
33255,tcp,13
4948,icmp,12
49209,tcp,10
60292,icmp,5
51000,udp,14
17063,icmp,14
8092,udp,13
22011,icmp,16
41778,tcp,16
61241,tcp,11
21004,tcp,9
42382,icmp,8
46923,udp,8
64367,udp,8
18677,icmp,12
35515,icmp,14
40990,udp,2
55168,udp,7
55527,udp,8
5644,tcp,12
18977,icmp,6
26296,icmp,13
33142,tcp,7
58757,icmp,12
34415,icmp,9
2542,tcp,14
21274,udp,16
23956,icmp,13
17209,icmp,10
21005,icmp,9
10123,tcp,8
54708,icmp,5
13841,udp,9
21598,tcp,6
52747,icmp,14
36393,tcp,10
39439,tcp,12
50610,icmp,16
1152,udp,9
13880,udp,8
7501,udp,13
4530,icmp,12
54166,tcp,8
23410,icmp,15
65369,tcp,8
45339,icmp,11
28996,udp,13
56122,udp,9
53468,udp,7
26808,udp,9
15187,icmp,15
28970,tcp,12
25118,tcp,10
19320,udp,12
32780,tcp,13
62629,udp,10
60092,udp,11
35901,tcp,8
56831,icmp,8
47568,icmp,6
25965,tcp,7
57436,icmp,14
41511,tcp,10
28923,icmp,8
