dstport,protocol,tag
28312,tcp,sv_P5
61168,icmp,sv_P5
3033,icmp,sv_P5
28215,udp,sv_P2
22553,tcp,email
21047,tcp,sv_P4
23126,udp,sv_P1
52842,tcp,sv_P1
2850,icmp,sv_P2
59614,icmp,sv_P3
22914,udp,sv_P5
57895,icmp,sv_P1
52621,icmp,sv_P4
48940,udp,email
8801,icmp,email
21197,icmp,sv_P5
6634,tcp,sv_P3
57605,udp,sv_P3
12977,icmp,sv_P5
26768,icmp,sv_P1
12008,udp,sv_P1
8536,icmp,sv_P4
18831,icmp,email
1298,tcp,sv_P1
57139,tcp,sv_P5
51422,tcp,sv_P3
33176,icmp,sv_P2
49067,udp,email
9507,icmp,sv_P5
21227,udp,sv_P4
36003,udp,email
37126,udp,sv_P2
285,tcp,sv_P5
11238,tcp,sv_P3
61434,tcp,sv_P4
56829,icmp,email
38021,icmp,sv_P3
7170,tcp,sv_P4
18258,tcp,sv_P4
14987,udp,sv_P4
55566,icmp,sv_P1
17484,icmp,sv_P1
18455,icmp,sv_P5
62740,udp,sv_P4
60191,icmp,sv_P3
17097,udp,sv_P2
24905,tcp,sv_P2
38912,udp,sv_P2
14405,tcp,sv_P5
59974,icmp,sv_P1
46173,tcp,sv_P5
15915,udp,sv_P5
7095,tcp,sv_P2
6935,udp,sv_P4
14474,udp,email
8824,tcp,sv_P5
40684,icmp,sv_P5
40629,icmp,sv_P3
20864,icmp,email
56583,icmp,sv_P5
50515,tcp,sv_P3
32456,tcp,email
21320,udp,sv_P3
20594,tcp,email
41825,tcp,sv_P5
60230,tcp,sv_P4
31342,udp,email
34912,tcp,sv_P5
39228,udp,sv_P3
15816,udp,sv_P2
26791,icmp,email
8690,tcp,sv_P1
43388,tcp,sv_P4
53394,icmp,sv_P4
46195,icmp,sv_P1
1055,udp,sv_P4
60003,icmp,sv_P3
55962,tcp,sv_P2
37363,udp,email
47771,icmp,sv_P5
12533,tcp,email
13880,udp,email
64104,udp,sv_P5
46770,tcp,sv_P3
18666,icmp,sv_P4
46998,udp,sv_P2
43053,tcp,sv_P4
7174,tcp,sv_P2
4141,tcp,sv_P1
22573,udp,sv_P4
16938,udp,sv_P3
61740,tcp,sv_P1
40990,udp,email
57669,udp,sv_P2
22904,icmp,sv_P3
26229,tcp,sv_P5
51936,udp,sv_P2
44942,icmp,sv_P1
65114,tcp,sv_P1
62427,udp,email
53188,udp,sv_P2
21442,tcp,sv_P2
4794,udp,sv_P4
30909,tcp,sv_P3
38037,udp,sv_P5
34572,icmp,sv_P3
48883,tcp,sv_P1
56065,udp,sv_P2
15692,udp,sv_P2
34111,udp,sv_P3
32001,icmp,sv_P1
8369,udp,sv_P5
25481,icmp,sv_P4
25759,tcp,sv_P1
20558,tcp,sv_P1
8625,tcp,sv_P3
44731,icmp,sv_P5
12667,icmp,sv_P5
6313,tcp,sv_P3
24114,icmp,sv_P1
14411,tcp,email
52592,tcp,email
58230,udp,email
30555,tcp,sv_P4
47410,icmp,sv_P3
62590,tcp,sv_P1
48913,udp,sv_P5
15845,icmp,sv_P4
7046,tcp,sv_P3
53692,tcp,sv_P1
18344,tcp,sv_P1
54268,udp,sv_P1
61770,udp,sv_P3
20584,icmp,email
22701,icmp,sv_P1
2757,tcp,sv_P4
7971,icmp,sv_P1
2116,tcp,sv_P5
29962,tcp,email
60561,icmp,sv_P4
60746,udp,email
21231,udp,sv_P4
28317,tcp,sv_P1
49589,udp,email
42392,tcp,sv_P3
13880,icmp,sv_P1
39904,udp,sv_P2
56644,udp,sv_P4
55283,tcp,sv_P1
64993,icmp,sv_P3
3757,icmp,sv_P5
19509,tcp,sv_P3
29718,tcp,sv_P5
38545,udp,sv_P3
21139,udp,sv_P4
16513,icmp,sv_P1
39843,icmp,email
63735,icmp,email
64188,tcp,sv_P3
15953,udp,sv_P1
18410,icmp,email
61055,tcp,sv_P3
17659,udp,email
5495,tcp,sv_P2
47381,icmp,sv_P5
24338,tcp,sv_P2
1256,icmp,sv_P5
61998,tcp,sv_P1
13931,udp,sv_P2
37587,udp,sv_P5
6681,icmp,sv_P1
29692,icmp,sv_P1
3939,icmp,sv_P3
62902,tcp,sv_P3
58364,tcp,sv_P2
42142,tcp,sv_P5
25852,icmp,sv_P1
27872,tcp,email
29956,tcp,sv_P3
25978,icmp,sv_P5
6456,icmp,sv_P1
8648,tcp,sv_P4
5673,icmp,sv_P1
7990,udp,sv_P5
49471,udp,sv_P3
64542,icmp,email
48268,udp,sv_P2
45451,icmp,sv_P1
23920,icmp,sv_P1
44525,icmp,sv_P5
37986,tcp,sv_P3
2503,tcp,email
35563,udp,sv_P1
50906,tcp,sv_P4
19053,tcp,sv_P5
9121,udp,sv_P3
45084,icmp,sv_P3
20593,udp,sv_P1
25227,udp,sv_P4
31552,tcp,sv_P5
22755,udp,sv_P1
1354,tcp,sv_P3
29595,icmp,email
1583,udp,sv_P3
32024,udp,sv_P5
22770,udp,sv_P2
57989,icmp,sv_P4
16635,tcp,sv_P4
20349,icmp,sv_P3
48051,tcp,sv_P3
14418,tcp,sv_P5
3633,tcp,sv_P5
40692,icmp,sv_P1
3252,udp,sv_P2
59794,tcp,sv_P1
58252,icmp,sv_P3
812,udp,sv_P5
13017,udp,sv_P4
24779,udp,email
35,udp,sv_P3
31575,udp,sv_P3
5667,udp,sv_P5
53499,udp,sv_P4
44580,icmp,sv_P5
14612,tcp,sv_P5
22221,tcp,sv_P2
51000,udp,sv_P5
61467,udp,sv_P3
42469,udp,sv_P1
23103,icmp,sv_P4
46137,udp,sv_P5
57317,icmp,sv_P4
49786,icmp,email
34653,tcp,sv_P2
31787,icmp,sv_P4
30182,icmp,sv_P3
62621,tcp,sv_P5
14503,icmp,sv_P1
42415,udp,sv_P2
4,udp,email
17357,udp,sv_P4
34415,icmp,sv_P5
29786,icmp,sv_P3
18870,tcp,sv_P4
54861,tcp,sv_P2
59950,tcp,email
41342,udp,sv_P5
32603,icmp,sv_P3
49703,tcp,sv_P4
45661,icmp,sv_P4
30737,udp,sv_P4
17787,icmp,sv_P4
18525,udp,sv_P5
21679,udp,sv_P5
59671,udp,sv_P3
12671,icmp,email
40347,udp,sv_P3
15733,icmp,sv_P3
59574,icmp,sv_P2
59671,tcp,email
39540,tcp,sv_P2
61962,icmp,email
9636,udp,sv_P4
65358,icmp,sv_P3
21129,tcp,sv_P5
56329,udp,sv_P4
55993,icmp,sv_P1
8701,icmp,sv_P2
4783,tcp,sv_P3
1224,tcp,sv_P1
65,icmp,sv_P1
36238,icmp,sv_P2
46232,udp,sv_P2
10998,icmp,sv_P3
25727,udp,email
1833,tcp,sv_P3
6338,icmp,sv_P3
38647,tcp,sv_P5
62738,udp,sv_P2
21116,tcp,sv_P2
480,udp,email
28919,udp,sv_P5
63845,icmp,sv_P4
10115,icmp,sv_P5
36640,icmp,email
24246,udp,sv_P2
54159,udp,sv_P4
19682,udp,sv_P3
4644,udp,sv_P5
28528,icmp,sv_P1
62859,udp,email
50434,icmp,sv_P4
43220,tcp,sv_P5
35203,icmp,sv_P4
21604,tcp,sv_P5
63795,icmp,sv_P2
15449,icmp,sv_P4
10240,udp,email
45874,icmp,sv_P2
16311,udp,sv_P3
44325,icmp,sv_P2
39979,udp,sv_P4
46806,tcp,sv_P3
16202,udp,sv_P2
10951,tcp,sv_P5
22887,udp,sv_P2
24795,tcp,sv_P1
12259,icmp,sv_P1
27748,tcp,email
1713,icmp,sv_P3
17191,udp,sv_P3
9126,tcp,sv_P3
16686,icmp,sv_P3
55338,tcp,sv_P1
16478,tcp,sv_P5
63424,tcp,sv_P1
51498,tcp,sv_P4
6944,udp,sv_P1
7218,icmp,sv_P3
25978,udp,sv_P2
1305,icmp,sv_P3
47569,udp,email
18583,udp,sv_P2
52279,icmp,sv_P2
1913,udp,sv_P3
41414,tcp,sv_P1
999,icmp,email
52097,tcp,sv_P1
29056,udp,email
27718,tcp,sv_P3
21716,udp,sv_P2
55105,tcp,email
42084,tcp,sv_P2
24806,icmp,sv_P3
14595,udp,sv_P1
9429,udp,sv_P1
49358,udp,sv_P5
29584,tcp,sv_P2
21236,udp,sv_P1
62952,tcp,email
7356,tcp,sv_P5
53205,udp,sv_P5
18661,icmp,sv_P5
46860,tcp,sv_P5
8233,udp,email
22816,icmp,email
31868,icmp,sv_P5
48410,tcp,sv_P3
31265,tcp,sv_P4
4591,udp,sv_P1
45341,udp,sv_P3
57717,icmp,sv_P3
57884,udp,sv_P5
48169,udp,sv_P5
15652,udp,sv_P2
59025,udp,sv_P4
4838,tcp,sv_P2
33830,tcp,sv_P1
64182,icmp,sv_P5
49300,udp,sv_P5
39402,udp,sv_P3
48847,tcp,sv_P2
6602,tcp,sv_P5
59819,udp,sv_P4
24640,icmp,sv_P3
5372,tcp,sv_P5
13104,icmp,sv_P3
48400,tcp,sv_P3
8343,icmp,sv_P2
63739,tcp,email
18591,tcp,sv_P2
30101,udp,email
32078,udp,email
53246,tcp,sv_P1
50365,icmp,sv_P3
50336,icmp,email
33357,udp,email
19566,udp,sv_P2
14777,tcp,sv_P2
2181,icmp,sv_P3
17429,tcp,email
6550,icmp,sv_P5
46626,udp,sv_P5
47389,tcp,sv_P5
61473,udp,email
45657,udp,sv_P4
37370,tcp,sv_P3
16358,udp,sv_P5
44053,tcp,sv_P5
45815,udp,sv_P4
59766,tcp,email
276,udp,sv_P1
12951,icmp,email
37674,icmp,email
41514,tcp,sv_P3
60020,icmp,sv_P3
51372,tcp,sv_P5
47125,udp,sv_P3
36488,udp,sv_P5
56211,icmp,email
4419,icmp,sv_P3
5314,udp,sv_P5
13039,icmp,sv_P2
1312,udp,email
21598,tcp,email
45678,icmp,sv_P5
46715,tcp,sv_P2
4807,udp,email
51374,tcp,sv_P2
20188,icmp,sv_P4
12745,udp,sv_P5
12691,tcp,sv_P1
36939,udp,sv_P1
20310,tcp,sv_P5
44303,icmp,sv_P1
51557,tcp,sv_P2
55024,tcp,sv_P5
806,icmp,email
56783,icmp,sv_P1
42833,icmp,email
54371,tcp,email
26353,udp,email
31171,icmp,sv_P5
23271,udp,sv_P1
3480,udp,sv_P5
8538,tcp,sv_P5
29742,tcp,sv_P2
63443,icmp,sv_P1
61789,tcp,sv_P2
63093,tcp,sv_P1
4603,udp,sv_P1
8879,udp,sv_P3
36848,tcp,email
12163,tcp,sv_P1
63982,udp,sv_P4
1144,icmp,sv_P2
56936,udp,sv_P1
39731,udp,sv_P1
950,icmp,sv_P4
43900,icmp,email
35801,udp,sv_P5
10543,tcp,sv_P2
61617,udp,sv_P1
40533,tcp,sv_P4
48465,tcp,sv_P2
52205,tcp,sv_P1
11598,tcp,sv_P4
48492,icmp,sv_P4
42798,tcp,sv_P5
50346,icmp,email
8961,tcp,sv_P4
56191,tcp,sv_P4
21346,tcp,email
36776,udp,sv_P2
32386,udp,sv_P1
15495,tcp,sv_P3
39911,udp,sv_P2
2618,icmp,email
48787,icmp,email
11104,udp,sv_P4
51730,icmp,sv_P5
6475,tcp,email
10514,icmp,sv_P2
9161,tcp,sv_P4
481,icmp,email
21266,icmp,sv_P2
43459,tcp,sv_P5
54166,tcp,sv_P1
24675,tcp,sv_P1
53479,tcp,sv_P4
3413,icmp,sv_P4
29648,tcp,sv_P4
33499,udp,sv_P4
3227,udp,sv_P4
46452,icmp,sv_P3
4851,icmp,sv_P3
18858,udp,sv_P5
1790,udp,sv_P4
34207,icmp,sv_P2
23734,udp,sv_P3
26969,icmp,sv_P5
40328,udp,sv_P2
27224,tcp,email
11490,udp,sv_P2
9527,udp,sv_P4
54577,tcp,sv_P4
58555,tcp,sv_P4
2367,udp,sv_P3
52875,tcp,sv_P5
26012,tcp,sv_P5
1180,tcp,sv_P3
14218,tcp,email
33313,tcp,sv_P1
17271,udp,sv_P3
20525,tcp,sv_P1
23956,icmp,sv_P1
30669,tcp,sv_P3
18499,tcp,sv_P5
44361,udp,sv_P5
14487,udp,sv_P1
64608,icmp,sv_P3
40340,tcp,sv_P5
27952,tcp,sv_P4
54436,tcp,sv_P1
45135,udp,sv_P4
14571,udp,sv_P3
58983,tcp,sv_P4
53591,udp,sv_P3
26267,icmp,sv_P3
56956,tcp,sv_P5
3768,udp,sv_P4
36978,tcp,sv_P3
16055,icmp,sv_P3
11170,icmp,sv_P1
12458,tcp,sv_P4
26854,udp,sv_P3
12166,tcp,sv_P3
13506,tcp,sv_P4
18839,udp,email
23982,tcp,sv_P2
25687,icmp,sv_P1
53540,udp,sv_P1
38634,udp,sv_P1
38226,udp,sv_P2
48186,tcp,sv_P1
40802,tcp,sv_P3
14488,udp,email
3019,udp,email
50090,udp,sv_P2
12431,tcp,sv_P4
49209,tcp,sv_P3
17979,icmp,sv_P3
60087,icmp,sv_P5
12792,tcp,sv_P5
62339,udp,sv_P5
56831,icmp,email
45471,icmp,sv_P1
36745,udp,email
64335,tcp,sv_P3
12450,icmp,sv_P2
51195,tcp,sv_P4
27069,tcp,sv_P5
33471,tcp,sv_P1
19520,tcp,email
11622,tcp,sv_P4
55225,icmp,email
38152,icmp,sv_P4
34841,tcp,email
44388,tcp,sv_P3
64620,tcp,sv_P4
61173,icmp,sv_P3
37051,udp,sv_P5
14886,udp,sv_P3
28571,tcp,sv_P4
8365,udp,sv_P5
48751,icmp,email
1353,icmp,sv_P4
47465,icmp,sv_P2
37557,icmp,sv_P5
22149,tcp,sv_P3
45953,udp,sv_P2
16616,icmp,sv_P3
58609,tcp,sv_P3
35926,icmp,sv_P2
60558,udp,sv_P1
38006,icmp,sv_P3
26684,udp,email
11201,tcp,sv_P4
37999,tcp,sv_P1
3528,icmp,sv_P1
8506,tcp,sv_P1
11505,tcp,sv_P2
63281,udp,sv_P2
39167,udp,email
11204,udp,sv_P4
38715,tcp,sv_P3
13768,icmp,sv_P1
60351,icmp,sv_P5
63083,icmp,sv_P1
5263,udp,sv_P2
42955,icmp,sv_P1
20805,tcp,sv_P5
9529,udp,sv_P5
7832,tcp,sv_P2
8978,icmp,sv_P5
47388,udp,email
998,udp,sv_P3
62694,icmp,email
8704,udp,sv_P2
10067,udp,sv_P3
21301,udp,sv_P4
50979,icmp,sv_P3
2984,tcp,sv_P3
58037,tcp,sv_P5
49030,tcp,sv_P4
54594,tcp,email
61768,tcp,email
55102,udp,sv_P3
25688,icmp,sv_P4
22712,udp,sv_P5
58533,icmp,sv_P3
3784,udp,sv_P4
20095,udp,email
40895,tcp,sv_P5
18100,tcp,email
27086,udp,sv_P5
17111,udp,sv_P1
43876,tcp,sv_P4
17497,tcp,sv_P3
53142,udp,sv_P2
44488,icmp,email
20335,icmp,email
28446,icmp,sv_P3
10581,udp,sv_P2
18506,icmp,sv_P3
24638,udp,sv_P1
19843,tcp,email
59170,tcp,sv_P5
43022,icmp,sv_P2
63177,icmp,sv_P2
2976,udp,sv_P3
20643,tcp,email
36476,tcp,sv_P5
12520,icmp,sv_P4
39169,udp,email
5322,tcp,sv_P1
15978,tcp,sv_P4
40930,tcp,sv_P2
59981,tcp,sv_P1
52126,udp,sv_P4
53676,icmp,email
35913,udp,sv_P3
24599,icmp,sv_P2
61676,icmp,sv_P2
52871,udp,email
38466,udp,sv_P1
38335,udp,sv_P2
19617,tcp,sv_P5
43141,tcp,email
24872,tcp,sv_P1
57868,tcp,sv_P2
47861,tcp,sv_P2
57099,icmp,sv_P4
23086,tcp,sv_P4
64487,icmp,sv_P5
5056,icmp,sv_P5
62709,icmp,sv_P1
36364,icmp,sv_P1
5172,icmp,sv_P4
51531,udp,sv_P2
22567,tcp,sv_P2
21264,udp,sv_P1
37390,tcp,email
50907,udp,sv_P5
40397,udp,sv_P5
63082,icmp,sv_P3
46167,udp,sv_P1
26783,udp,sv_P1
61083,udp,sv_P4
26712,tcp,sv_P1
21748,tcp,sv_P5
19767,udp,sv_P2
8556,tcp,sv_P4
4956,tcp,sv_P1
50949,tcp,sv_P1
28042,icmp,sv_P4
40144,icmp,sv_P4
12819,udp,email
18108,icmp,sv_P3
42423,tcp,sv_P2
19549,icmp,sv_P2
48147,icmp,sv_P4
48098,icmp,sv_P2
36276,icmp,sv_P4
59648,udp,sv_P3
39457,tcp,sv_P4
64074,udp,sv_P3
30850,tcp,sv_P3
16727,tcp,sv_P5
8150,udp,sv_P2
28895,udp,sv_P1
25938,tcp,sv_P4
10977,udp,sv_P3
34609,udp,sv_P2
10456,udp,email
53146,udp,sv_P2
19296,tcp,sv_P3
43784,tcp,sv_P1
35037,icmp,sv_P3
23118,icmp,sv_P4
27311,icmp,sv_P2
56538,udp,sv_P2
40493,tcp,sv_P4
43252,udp,email
3354,udp,sv_P1
8844,icmp,email
43475,icmp,sv_P2
48480,icmp,sv_P5
54708,icmp,sv_P1
34245,udp,sv_P3
1152,tcp,sv_P4
38164,tcp,sv_P4
42631,udp,sv_P4
49545,icmp,sv_P1
36578,udp,sv_P5
44375,tcp,sv_P5
42919,icmp,sv_P3
40102,icmp,sv_P5
64372,tcp,sv_P2
51308,udp,sv_P1
52964,icmp,sv_P4
49356,udp,sv_P1
48968,icmp,sv_P5
21460,icmp,sv_P5
53864,tcp,sv_P2
2207,icmp,sv_P5
21329,tcp,email
62083,tcp,sv_P2
17619,icmp,sv_P3
32942,tcp,sv_P3
49276,udp,email
14238,icmp,sv_P3
26769,tcp,sv_P2
27051,icmp,sv_P3
4026,tcp,sv_P1
48124,udp,sv_P3
44147,icmp,email
34175,icmp,email
44374,icmp,email
7422,icmp,sv_P3
27658,tcp,email
24835,udp,email
2964,icmp,sv_P4
5862,udp,sv_P3
62613,icmp,sv_P2
51128,tcp,sv_P1
53661,icmp,sv_P4
6593,tcp,sv_P4
7399,icmp,sv_P2
65315,tcp,sv_P3
2206,icmp,email
34333,tcp,sv_P1
8418,tcp,sv_P3
17001,icmp,sv_P5
40454,icmp,sv_P5
35094,icmp,sv_P4
18949,icmp,sv_P2
31471,tcp,sv_P3
33600,tcp,sv_P2
13385,icmp,email
28263,udp,sv_P3
56,udp,sv_P1
21746,tcp,sv_P1
23360,udp,email
16875,udp,sv_P2
45692,udp,sv_P3
15264,icmp,sv_P5
49289,tcp,email
30679,tcp,sv_P4
48065,icmp,sv_P2
11684,udp,sv_P1
60700,tcp,sv_P3
55886,tcp,sv_P2
7006,icmp,sv_P3
64719,icmp,sv_P1
9035,icmp,email
34414,udp,sv_P3
59021,tcp,sv_P4
33480,tcp,sv_P1
55824,udp,email
61611,icmp,sv_P1
55078,udp,sv_P2
42135,icmp,sv_P1
11815,icmp,sv_P4
17080,udp,sv_P1
39254,tcp,sv_P5
32723,icmp,sv_P5
26240,tcp,sv_P3
52262,tcp,sv_P3
36953,tcp,email
9596,icmp,sv_P4
36728,udp,sv_P1
5024,tcp,sv_P3
18711,tcp,sv_P5
63204,udp,sv_P3
50763,icmp,email
65524,udp,sv_P4
18721,icmp,sv_P1
22360,tcp,sv_P3
58880,udp,sv_P5
37623,tcp,sv_P4
57042,icmp,email
26911,udp,sv_P4
52803,udp,sv_P5
42280,tcp,sv_P2
59810,tcp,sv_P1
36556,tcp,email
5762,icmp,sv_P2
60843,tcp,sv_P4
47926,icmp,sv_P1
48443,udp,sv_P1
18102,icmp,sv_P2
33796,udp,email
23992,udp,sv_P5
61732,tcp,sv_P2
57503,icmp,email
6992,icmp,sv_P5
3717,udp,sv_P1
41018,udp,sv_P3
34594,udp,sv_P3
33619,tcp,sv_P4
64614,udp,sv_P4
9672,icmp,sv_P5
46934,tcp,sv_P5
42710,icmp,sv_P4
65501,icmp,sv_P4
25228,udp,sv_P2
63632,udp,sv_P5
38152,tcp,sv_P5
3042,icmp,sv_P4
62182,icmp,sv_P5
34612,tcp,sv_P1
50093,udp,sv_P4
9720,tcp,sv_P5
27187,icmp,sv_P3
47416,tcp,sv_P3
34014,tcp,sv_P4
18601,icmp,sv_P3
3333,udp,sv_P4
33349,udp,sv_P5
13798,udp,sv_P2
32186,icmp,sv_P3
34410,tcp,email
33881,tcp,sv_P4
24975,udp,sv_P4
28727,tcp,sv_P3
56300,tcp,sv_P1
39453,udp,sv_P5
62333,icmp,sv_P4
36356,tcp,email
9282,icmp,sv_P3
46644,icmp,sv_P2
60929,tcp,email
33094,icmp,sv_P2
59541,icmp,sv_P2
4790,udp,email
57834,icmp,sv_P5
51418,tcp,sv_P5
40200,tcp,sv_P5
45857,udp,sv_P3
29369,udp,sv_P3
55393,icmp,sv_P5
40577,udp,sv_P4
37468,tcp,sv_P2
24278,tcp,sv_P3
21120,icmp,sv_P5
63105,tcp,email
41075,tcp,email
34387,icmp,sv_P2
9528,icmp,sv_P3
39085,udp,email
9828,tcp,email
1880,icmp,email
23221,udp,sv_P5
13438,tcp,sv_P3
38711,tcp,sv_P3
42202,icmp,sv_P2
18656,udp,sv_P3
47119,icmp,sv_P2
9628,udp,sv_P5
65049,tcp,sv_P4
36451,icmp,sv_P4
27143,icmp,email
31365,udp,sv_P2
16052,tcp,sv_P2
38380,udp,sv_P1
53119,tcp,email
37653,tcp,sv_P4
53229,udp,sv_P2
26985,udp,sv_P2
28746,icmp,sv_P3
18933,icmp,sv_P5
21985,tcp,sv_P5
12880,tcp,sv_P1
41672,udp,sv_P4
15428,icmp,sv_P3
17561,udp,email
45653,tcp,sv_P1
26011,tcp,email
60716,icmp,sv_P2
36015,tcp,email
29610,udp,sv_P5
4527,tcp,sv_P2
10966,udp,sv_P4
37190,icmp,sv_P4
46762,tcp,sv_P1
58977,udp,email
40763,icmp,sv_P5
50119,icmp,sv_P3
63293,udp,sv_P5
8917,udp,email
60345,udp,sv_P3
41462,tcp,email
32845,udp,sv_P5
38549,icmp,sv_P3
33718,icmp,sv_P1
58161,tcp,sv_P3
29641,tcp,sv_P3
64442,tcp,sv_P2
40592,udp,email
64091,icmp,sv_P5
632,icmp,sv_P2
275,udp,sv_P2
49320,tcp,sv_P5
24670,tcp,sv_P2
35510,tcp,sv_P1
53699,tcp,sv_P5
22367,tcp,sv_P3
52869,udp,sv_P5
25361,tcp,email
54686,udp,sv_P4
59046,tcp,email
65060,udp,sv_P3
63264,icmp,sv_P4
26364,udp,sv_P2
22389,udp,sv_P5
50866,icmp,sv_P2
61963,tcp,email
35832,udp,sv_P5
39977,udp,sv_P2
41100,udp,sv_P3
48590,icmp,sv_P5
13781,udp,sv_P3
9158,icmp,sv_P4
19096,tcp,email
9632,udp,sv_P5
11307,udp,sv_P5
43935,udp,sv_P5
17192,tcp,sv_P4
53870,icmp,sv_P4
10107,udp,sv_P1
21193,tcp,sv_P5
55793,udp,email
43856,icmp,sv_P3
56451,tcp,sv_P2
21228,tcp,email
37944,udp,sv_P4
59416,tcp,sv_P3
31864,icmp,email
1336,udp,sv_P1
19378,tcp,sv_P4
40544,tcp,email
60479,tcp,sv_P3
25644,tcp,sv_P4
17426,udp,sv_P5
40600,tcp,email
21643,tcp,sv_P1
33538,tcp,sv_P2
51481,udp,sv_P2
33941,icmp,sv_P2
40283,icmp,email
23416,udp,sv_P4
9888,tcp,sv_P2
2176,tcp,sv_P4
1546,tcp,email
51260,tcp,sv_P5
28242,udp,sv_P1
62417,icmp,sv_P3
19232,udp,email
27315,icmp,email
62259,tcp,sv_P3
7029,udp,sv_P2
26626,tcp,email
21851,udp,email
57638,tcp,sv_P2
20062,tcp,sv_P4
48118,icmp,sv_P3
4603,icmp,sv_P4
18758,icmp,sv_P3
9194,tcp,sv_P5
33767,udp,email
26042,tcp,sv_P3
31490,icmp,email
5895,udp,sv_P5
57948,icmp,sv_P4
46905,tcp,sv_P1
14790,icmp,email
51243,udp,sv_P2
47756,udp,sv_P5
7373,icmp,sv_P5
4113,tcp,sv_P3
51841,tcp,sv_P5
45864,tcp,sv_P2
25782,tcp,sv_P3
26323,udp,sv_P2
17118,icmp,sv_P2
